id,prompt
292,Skriv en anmeldelse av TV-serien «House of Cards» sesong 4 på rundt 700 ord hvor du gir terningkast 4
4789,Skriv en anmeldelse av filmen «Alt det vakre» på rundt 100 ord hvor du gir terningkast 4
4273,Skriv en anmeldelse av filmen «Hundreåringen som klatret ut gjennom vinduet og forsvant» på rundt 400 ord hvor du gir terningkast 4
5086,Skriv en anmeldelse av filmen «The Square» på rundt 600 ord hvor du gir terningkast 5
5048,Skriv en anmeldelse av filmen «Kedi» på rundt 400 ord hvor du gir terningkast 5
4889,Skriv en anmeldelse av filmen «The Girl on the Train» på rundt 100 ord hvor du gir terningkast 3
3582,Skriv en anmeldelse av filmen «Edge Of Darkness» på rundt 400 ord hvor du gir terningkast 4
4516,Skriv en anmeldelse av filmen «Insurgent» på rundt 400 ord hvor du gir terningkast 3
3885,Skriv en anmeldelse av filmen «Happy Feet 2» på rundt 600 ord hvor du gir terningkast 4
4607,Skriv en anmeldelse av filmen «Straight Outta Compton» på rundt 800 ord hvor du gir terningkast 5
5365,Skriv en anmeldelse av filmen «If Beale Street Could Talk» på rundt 100 ord hvor du gir terningkast 4
3304,Skriv en anmeldelse av filmen «Switch» på rundt 400 ord hvor du gir terningkast 4
400216,Skriv en anmeldelse av filmen «Kung fu panda 3» på rundt 100 ord hvor du gir terningkast 3
3161,Skriv en anmeldelse av filmen «Moulin Rouge!» på rundt 400 ord hvor du gir terningkast 6
5266,Skriv en anmeldelse av filmen «Blindsone» på rundt 100 ord hvor du gir terningkast 5
323,Skriv en anmeldelse av TV-serien «OJ Simpson - Made in America» på rundt 100 ord hvor du gir terningkast 6
3400,Skriv en anmeldelse av filmen «Big Love» på rundt 400 ord hvor du gir terningkast 5
401399,Skriv en anmeldelse av TV-serien «Altered Carbon» på rundt 900 ord hvor du gir terningkast 5
4814,Skriv en anmeldelse av filmen «Batman: The Killing Joke» på rundt 100 ord hvor du gir terningkast 3
400027,Skriv en anmeldelse av filmen «The Loft» på rundt 400 ord hvor du gir terningkast 2
401831,Skriv en anmeldelse av filmen «Rafiki» på rundt 400 ord hvor du gir terningkast 4
400224,Skriv en anmeldelse av filmen «Historien om den sjenerte giganten» på rundt 100 ord hvor du gir terningkast 5
4884,Skriv en anmeldelse av filmen «Allierte» på rundt 100 ord hvor du gir terningkast 4
3601,Skriv en anmeldelse av filmen «Clash Of The Titans» på rundt 400 ord hvor du gir terningkast 3
401823,Skriv en anmeldelse av filmen «Colette» på rundt 500 ord hvor du gir terningkast 4
401743,Skriv en anmeldelse av filmen «Cold war» på rundt 400 ord hvor du gir terningkast 5
401257,Skriv en anmeldelse av filmen «Bright» på rundt 500 ord hvor du gir terningkast 3
400142,Skriv en anmeldelse av filmen «The Magnificent Seven» på rundt 100 ord hvor du gir terningkast 2
4128,Skriv en anmeldelse av filmen «Mama» på rundt 500 ord hvor du gir terningkast 3
3526,Skriv en anmeldelse av filmen «State of Play» på rundt 300 ord hvor du gir terningkast 4
401022,Skriv en anmeldelse av filmen «Emojifilmen» på rundt 500 ord hvor du gir terningkast 2
116,Skriv en anmeldelse av TV-serien «Hell on Wheels» på rundt 500 ord hvor du gir terningkast 5
3916,Skriv en anmeldelse av filmen «Big Miracle» på rundt 400 ord hvor du gir terningkast 4
4936,Skriv en anmeldelse av filmen «Det norske hus» på rundt 100 ord hvor du gir terningkast 5
330,Skriv en anmeldelse av TV-serien «Aber Bergen» på rundt 100 ord hvor du gir terningkast 4
3515,Skriv en anmeldelse av filmen «The Unborn» på rundt 400 ord hvor du gir terningkast 3
4589,Skriv en anmeldelse av filmen «Far from the Madding Crowd» på rundt 700 ord hvor du gir terningkast 4
4736,Skriv en anmeldelse av filmen «Knight of Cups» på rundt 500 ord hvor du gir terningkast 4
4861,Skriv en anmeldelse av filmen «Masterminds» på rundt 100 ord hvor du gir terningkast 2
4439,Skriv en anmeldelse av filmen «Bokstrollene» på rundt 500 ord hvor du gir terningkast 4
400980,Skriv en anmeldelse av filmen «Dunkirk» på rundt 800 ord hvor du gir terningkast 6
400248,Skriv en anmeldelse av filmen «Stabukker» på rundt 100 ord hvor du gir terningkast 5
4250,Skriv en anmeldelse av filmen «Fremmed ved sjøen» på rundt 500 ord hvor du gir terningkast 5
3338,Skriv en anmeldelse av filmen «National Treasure: Book of secrets» på rundt 400 ord hvor du gir terningkast 3
401942,Skriv en anmeldelse av TV-serien «Heimebane» på rundt 100 ord hvor du gir terningkast 5
3166,Skriv en anmeldelse av filmen «Mulholland Drive» på rundt 400 ord hvor du gir terningkast 6
4664,Skriv en anmeldelse av filmen «Every Thing Will Be Fine» på rundt 400 ord hvor du gir terningkast 4
3595,Skriv en anmeldelse av filmen «Dragetreneren» på rundt 300 ord hvor du gir terningkast 5
157,Skriv en anmeldelse av TV-serien «Derek» sesong 1 på rundt 500 ord hvor du gir terningkast 5
5130,Skriv en anmeldelse av filmen «City of Ghosts: Raqqa» på rundt 500 ord hvor du gir terningkast 5
4821,Skriv en anmeldelse av filmen «Mike og Dave trenger damer» på rundt 100 ord hvor du gir terningkast 4
111,Skriv en anmeldelse av TV-serien «Justified» sesong 1 på rundt 500 ord hvor du gir terningkast 5
3969,Skriv en anmeldelse av filmen «Dark Shadows» på rundt 400 ord hvor du gir terningkast 3
400066,Skriv en anmeldelse av filmen «Phoenix» på rundt 400 ord hvor du gir terningkast 4
4140,Skriv en anmeldelse av filmen «Rebell» på rundt 400 ord hvor du gir terningkast 5
4633,Skriv en anmeldelse av filmen «Sorte Sjeler» på rundt 400 ord hvor du gir terningkast 5
5169,Skriv en anmeldelse av filmen «Los Bando» på rundt 500 ord hvor du gir terningkast 4
4284,Skriv en anmeldelse av filmen «Jack Ryan: Shadow Recruit» på rundt 400 ord hvor du gir terningkast 3
401160,Skriv en anmeldelse av filmen «Natta pappa henta oss» på rundt 400 ord hvor du gir terningkast 5
400281,Skriv en anmeldelse av filmen «Black Mass» på rundt 400 ord hvor du gir terningkast 5
4332,Skriv en anmeldelse av filmen «Nebraska» på rundt 400 ord hvor du gir terningkast 5
3334,Skriv en anmeldelse av filmen «Shoot ’em up» på rundt 400 ord hvor du gir terningkast 4
3291,Skriv en anmeldelse av filmen «Chuck og Larry» på rundt 400 ord hvor du gir terningkast 2
