id,prompt
4354,Skriv en anmeldelse av filmen «A Million Ways To Die In The West» på rundt 500 ord hvor du gir terningkast 3
3780,Skriv en anmeldelse av filmen «Fast & Furious Five» på rundt 400 ord hvor du gir terningkast 5
4629,Skriv en anmeldelse av filmen «Pan» på rundt 700 ord hvor du gir terningkast 4
401067,Skriv en anmeldelse av TV-serien «Okkupert» sesong 2 på rundt 600 ord hvor du gir terningkast 3
5215,Skriv en anmeldelse av filmen «Loving Vincent» på rundt 400 ord hvor du gir terningkast 4
4638,Skriv en anmeldelse av filmen «Legend» på rundt 700 ord hvor du gir terningkast 4
4268,Skriv en anmeldelse av filmen «Den store skjønnheten» på rundt 500 ord hvor du gir terningkast 5
5106,Skriv en anmeldelse av filmen «Breathe» på rundt 600 ord hvor du gir terningkast 4
5168,Skriv en anmeldelse av filmen «The Post» på rundt 600 ord hvor du gir terningkast 6
400232,Skriv en anmeldelse av filmen «Sauls sønn» på rundt 100 ord hvor du gir terningkast 6
4296,Skriv en anmeldelse av filmen «Kraftidioten» på rundt 500 ord hvor du gir terningkast 5
4625,Skriv en anmeldelse av filmen «The Visit» på rundt 500 ord hvor du gir terningkast 2
3864,Skriv en anmeldelse av filmen «Page One: Inside The New York Times» på rundt 400 ord hvor du gir terningkast 5
4101,Skriv en anmeldelse av filmen «The Terminator» på rundt 700 ord hvor du gir terningkast 5
3476,Skriv en anmeldelse av filmen «Twilight - Evighetens kyss» på rundt 400 ord hvor du gir terningkast 4
216,Skriv en anmeldelse av TV-serien «Bloodline» sesong 1 på rundt 700 ord hvor du gir terningkast 5
5120,Skriv en anmeldelse av filmen «Suburbicon» på rundt 500 ord hvor du gir terningkast 4
5236,"Skriv en anmeldelse av filmen «Love, Simon» på rundt 500 ord hvor du gir terningkast 4"
4722,Skriv en anmeldelse av filmen «Så og på jorden» på rundt 500 ord hvor du gir terningkast 3
400973,Skriv en anmeldelse av filmen «In between» på rundt 600 ord hvor du gir terningkast 5
3307,Skriv en anmeldelse av filmen «Elizabeth: The Golden Age» på rundt 400 ord hvor du gir terningkast 4
400790,Skriv en anmeldelse av TV-serien «Unge lovende» sesong 2 på rundt 100 ord hvor du gir terningkast 4
401594,Skriv en anmeldelse av filmen «Ant-Man and the Wasp» på rundt 400 ord hvor du gir terningkast 4
65,Skriv en anmeldelse av TV-serien «South Park» sesong 13 på rundt 500 ord hvor du gir terningkast 5
3530,Skriv en anmeldelse av filmen «Star Trek» på rundt 500 ord hvor du gir terningkast 6
