id,authors,tags,title
4313,['Birger Vestmo'],['movie'],The Grand Budapest Hotel
3895,['Birger Vestmo'],['movie'],Hysteria
4486,['Birger Vestmo'],['movie'],Birdman
4351,['Marte Hedenstad'],['movie'],X Men: Days of Future Past
400980,aftenposten,['movie'],Dunkirk
3347,['Birger Vestmo'],['movie'],Charlie Wilson's war
3812,['Rune Håkonsen'],['movie'],The Lincoln Lawyer
5293,['Sigurd Vik'],['movie'],Smallfoot
3878,['Birger Vestmo'],['movie'],The Twilight Saga: Breaking Dawn - Part 1
5154,['Birger Vestmo'],['movie'],Call Me By Your Name
4009,['Birger Vestmo'],['movie'],The Expendables 2
4365,['Birger Vestmo'],['movie'],Sabotage
3641,['Birger Vestmo'],['movie'],Extreme Prejudice
4473,['Birger Vestmo'],['movie'],Staying Alive
4661,['Birger Vestmo'],['movie'],The Program
4478,['Birger Vestmo'],['movie'],Blackhat
400989,aftenposten,['movie'],Atomic Blonde
400106,aftenposten,['movie'],Hacksaw Ridge
5074,['Birger Vestmo'],['movie'],Biler 3
3855,['Birger Vestmo'],['movie'],Babycall
3445,['Birger Vestmo'],['movie'],Kurt blir grusom
4094,['Birger Vestmo'],['movie'],Lincoln
4744,['Marte Hedenstad'],['movie'],Gods of Egypt
400297,aftenposten,['movie'],Man from U.N.C.L.E.
75,['Torfinn Borkhus'],['tv'],White Collar sesong 1
401448,aftenposten,['movie'],You Were Never Really Here
4951,['Marte Hedenstad'],['movie'],Nocturama
4636,['Birger Vestmo'],['movie'],Taxi Teheran
4220,['Birger Vestmo'],['movie'],Alabama & Monroe
4156,['Rune Håkonsen'],['movie'],To the Wonder
4863,['Birger Vestmo'],['movie'],The Autopsy of Jane Doe
3652,['Birger Vestmo'],['movie'],Dinner For Schmucks
400086,aftenposten,['movie'],Mr. Turner
4968,['Birger Vestmo'],['movie'],Life
4541,['Birger Vestmo'],['movie'],Run All Night
4061,['Birger Vestmo'],['movie'],Snabba Cash II
400213,aftenposten,['movie'],Knight of cups
3667,['Birger Vestmo'],['movie'],Maskeblomstfamilien
4524,['Rune Håkonsen'],['movie'],Asterix: Byplanleggeren
4812,['Birger Vestmo'],['movie'],Suicide Squad
3649,['Birger Vestmo'],['movie'],Armadillo
4357,['Birger Vestmo'],['movie'],Edge Of Tomorrow
4656,['Marte Hedenstad'],['movie'],Mia Madre
5366,['Marte Hedenstad'],['movie'],Ben is Back
4298,['Rune Håkonsen'],['movie'],Her
3975,['Rune Håkonsen'],['movie'],Wide Blue Yonder
400307,aftenposten,['movie'],All Eyez On Me
4227,['Birger Vestmo'],['movie'],2 Guns
400152,aftenposten,['movie'],Jakten på Adolf Eichmann
64,['Torfinn Borkhus'],['tv'],True Blood sesong 3
3918,['Birger Vestmo'],['movie'],Young Adult
401387,aftenposten,['tv'],Homeland sesong 7
4673,['Birger Vestmo'],['movie'],Life In a Fishbowl
4949,['Birger Vestmo'],['movie'],Aquarius
3650,['Birger Vestmo'],['movie'],The Expendables
237,['Marte Hedenstad'],['tv'],True Detective sesong 2
3735,['Birger Vestmo'],['movie'],Gullivers reiser
400007,aftenposten,['movie'],Ted 2
4082,['Birger Vestmo'],['movie'],Jack Reacher
3490,['Birger Vestmo'],['movie'],Bolt
384,['Birger Vestmo'],['movie'],Transformers: De beseirede slår tilbake
5187,['Birger Vestmo'],['movie'],You Were Never Really Here
4215,['Birger Vestmo'],['movie'],Rush
4173,['Marte Hedenstad'],['movie'],The Internship
4521,['Sigurd Vik'],['movie'],Historien om Marie
3546,['Birger Vestmo'],['movie'],The Haunting in Connecticut
401013,aftenposten,['movie'],The Dark Tower
3957,['Marte Hedenstad'],['movie'],The Awakening
3226,['Birger Vestmo'],['movie'],Dreamgirls
3708,['Birger Vestmo'],['movie'],Megahjerne
4900,['Birger Vestmo'],['movie'],Rogue One: A Star Wars Story
400225,aftenposten,['movie'],London has fallen
3880,['Birger Vestmo'],['movie'],Immortals
400257,aftenposten,['movie'],The Hateful Eight
400162,aftenposten,['movie'],Suicide Squad
4532,['Birger Vestmo'],['movie'],Gemma Bovery
4780,['Birger Vestmo'],['movie'],The Neon Demon
401814,aftenposten,['movie'],Gordon & Paddy
402128,aftenposten,['movie'],Mary Queen of Scots
401298,aftenposten,['movie'],All the money in the world
4759,['Marte Hedenstad'],['movie'],Pyromanen
4822,['Sigurd Vik'],['movie'],Narcos sesong 2
3165,['Birger Vestmo'],['movie'],Monsterbedriften
3528,['Birger Vestmo'],['movie'],Yes Man
3518,['Birger Vestmo'],['movie'],Monsters vs. Aliens
5204,['Sigurd Vik'],['movie'],Det tredje mordet
3433,['Birger Vestmo'],['movie'],Flammen & Citronen
401628,aftenposten,['movie'],Blindsone
3661,['Birger Vestmo'],['movie'],Grown Ups
3853,['Birger Vestmo'],['movie'],Abduction
3869,['Birger Vestmo'],['movie'],Varg Veum - I mørket er alle ulver grå
401714,aftenposten,['movie'],Månelyst i Flåklypa
401491,aftenposten,['movie'],Mountain
4075,['Rune Håkonsen'],['movie'],Amour
5311,['Birger Vestmo'],['movie'],Overlord
4708,['Birger Vestmo'],['movie'],Den danske piken
3843,['Birger Vestmo'],['movie'],POM Wonderful presents: The Greatest Movie Ever Sold
5024,['Birger Vestmo'],['movie'],Cézanne & Zola
5207,['Birger Vestmo'],['movie'],Phantom Thread
3214,['Birger Vestmo'],['movie'],Evan Almighty
400004,aftenposten,['movie'],Paper towns
400170,aftenposten,['movie'],Don't tell me the boy was mad
401160,aftenposten,['movie'],Natta pappa henta oss
4829,['Birger Vestmo'],['movie'],Rosemari
400338,aftenposten,['movie'],Kammerpiken
401686,aftenposten,['movie'],American Dharma
4917,['Sigurd Vik'],['movie'],Split
3400,['Birger Vestmo'],['movie'],Big Love
3454,['Birger Vestmo'],['movie'],Netter i Rodanthe
5191,['Birger Vestmo'],['movie'],Tomb Raider
4240,['Birger Vestmo'],['movie'],Ender’s Game
5208,['Sigurd Vik'],['movie'],Rampage
3879,['Birger Vestmo'],['movie'],Blåfjell 2 – Jakten på det magiske horn
5415,['Marte Hedenstad'],['tv'],The Punisher
4621,['Birger Vestmo'],['movie'],Knutsen & Ludvigsen og den fæle Rasputin
4127,['Birger Vestmo'],['movie'],G.I. Joe: Retaliation
4315,['Birger Vestmo'],['movie'],Captain America: The Winter Soldier
3292,['Birger Vestmo'],['movie'],Rottatouille
