id,prompt
4047,Skriv en anmeldelse av filmen «Searching for Sugar Man» på rundt 600 ord hvor du gir terningkast 5
4120,Skriv en anmeldelse av filmen «Jack the Giant Slayer» på rundt 400 ord hvor du gir terningkast 4
401959,Skriv en anmeldelse av filmen «Velvet Buzzsaw» på rundt 100 ord hvor du gir terningkast 5
5329,Skriv en anmeldelse av filmen «Colette» på rundt 500 ord hvor du gir terningkast 4
402057,Skriv en anmeldelse av filmen «High Flying Bird» på rundt 100 ord hvor du gir terningkast 5
3378,Skriv en anmeldelse av filmen «Funny Games» på rundt 400 ord hvor du gir terningkast 5
5010,Skriv en anmeldelse av filmen «Baywatch» på rundt 100 ord hvor du gir terningkast 2
3391,Skriv en anmeldelse av filmen «Fool’s Gold» på rundt 400 ord hvor du gir terningkast 3
3870,Skriv en anmeldelse av filmen «Killer Elite» på rundt 500 ord hvor du gir terningkast 4
5083,Skriv en anmeldelse av filmen «Lego Ninjago Filmen» på rundt 500 ord hvor du gir terningkast 4
5236,"Skriv en anmeldelse av filmen «Love, Simon» på rundt 500 ord hvor du gir terningkast 4"
401759,Skriv en anmeldelse av TV-serien «The haunting of Hill House» på rundt 700 ord hvor du gir terningkast 6
3812,Skriv en anmeldelse av filmen «The Lincoln Lawyer» på rundt 500 ord hvor du gir terningkast 5
3631,Skriv en anmeldelse av filmen «Knight and Day» på rundt 400 ord hvor du gir terningkast 4
3208,Skriv en anmeldelse av filmen «The Departed» på rundt 300 ord hvor du gir terningkast 5
3360,Skriv en anmeldelse av filmen «Lars and the Real Girl» på rundt 400 ord hvor du gir terningkast 5
3489,Skriv en anmeldelse av filmen «Nord» på rundt 400 ord hvor du gir terningkast 4
5145,Skriv en anmeldelse av filmen «Jumanji: Welcome to the Jungle» på rundt 500 ord hvor du gir terningkast 4
3606,Skriv en anmeldelse av filmen «Iron Man 2» på rundt 400 ord hvor du gir terningkast 5
400332,Skriv en anmeldelse av filmen «Guardians of the Galaxy vol. 2» på rundt 100 ord hvor du gir terningkast 5
4393,Skriv en anmeldelse av filmen «Boyhood» på rundt 500 ord hvor du gir terningkast 6
5370,Skriv en anmeldelse av filmen «By the Grace of God» på rundt 100 ord hvor du gir terningkast 5
3565,Skriv en anmeldelse av filmen «Se opp» på rundt 400 ord hvor du gir terningkast 5
4435,"Skriv en anmeldelse av filmen «Love, Rosie» på rundt 500 ord hvor du gir terningkast 3"
5464,Skriv en anmeldelse av TV-serien «Chilling Adventures of Sabrina» sesong 1 på rundt 700 ord hvor du gir terningkast 4
5252,Skriv en anmeldelse av filmen «Wildling» på rundt 400 ord hvor du gir terningkast 4
111,Skriv en anmeldelse av TV-serien «Justified» sesong 1 på rundt 500 ord hvor du gir terningkast 5
401570,"Skriv en anmeldelse av filmen «Love, Simon» på rundt 500 ord hvor du gir terningkast 5"
400024,Skriv en anmeldelse av filmen «McFarland» på rundt 100 ord hvor du gir terningkast 5
4871,Skriv en anmeldelse av filmen «Den allvarsamma leken» på rundt 100 ord hvor du gir terningkast 4
3530,Skriv en anmeldelse av filmen «Star Trek» på rundt 500 ord hvor du gir terningkast 6
5208,Skriv en anmeldelse av filmen «Rampage» på rundt 600 ord hvor du gir terningkast 4
3366,Skriv en anmeldelse av filmen «Horton redder en Hvem» på rundt 400 ord hvor du gir terningkast 3
209,Skriv en anmeldelse av TV-serien «House of Cards» sesong 3 på rundt 800 ord hvor du gir terningkast 4
5337,Skriv en anmeldelse av filmen «Once Upon a Deadpool» på rundt 500 ord hvor du gir terningkast 4
401469,Skriv en anmeldelse av filmen «Det tredje mordet» på rundt 400 ord hvor du gir terningkast 3
3320,Skriv en anmeldelse av filmen «W.» på rundt 600 ord hvor du gir terningkast 5
232,Skriv en anmeldelse av TV-serien «Sense8» sesong 1 på rundt 700 ord hvor du gir terningkast 3
4566,Skriv en anmeldelse av filmen «Spy» på rundt 400 ord hvor du gir terningkast 4
3984,Skriv en anmeldelse av filmen «Weekend» på rundt 300 ord hvor du gir terningkast 5
4959,Skriv en anmeldelse av filmen «Ishavsblod – De siste selfangerne» på rundt 100 ord hvor du gir terningkast 5
3507,"Skriv en anmeldelse av filmen «Patrik 1,5» på rundt 400 ord hvor du gir terningkast 4"
4052,Skriv en anmeldelse av filmen «Palme» på rundt 500 ord hvor du gir terningkast 5
116,Skriv en anmeldelse av TV-serien «Hell on Wheels» på rundt 500 ord hvor du gir terningkast 5
4607,Skriv en anmeldelse av filmen «Straight Outta Compton» på rundt 800 ord hvor du gir terningkast 5
4695,Skriv en anmeldelse av filmen «Middelhavet» på rundt 400 ord hvor du gir terningkast 5
5263,Skriv en anmeldelse av filmen «Equalizer 2» på rundt 100 ord hvor du gir terningkast 4
400083,Skriv en anmeldelse av filmen «Foxcatcher» på rundt 500 ord hvor du gir terningkast 5
3601,Skriv en anmeldelse av filmen «Clash Of The Titans» på rundt 400 ord hvor du gir terningkast 3
400327,Skriv en anmeldelse av filmen «Richard Storken» på rundt 100 ord hvor du gir terningkast 5
401238,Skriv en anmeldelse av filmen «Star Wars: The Last Jedi» på rundt 1000 ord hvor du gir terningkast 5
365,Skriv en anmeldelse av TV-serien «Veep» sesong 6 på rundt 100 ord hvor du gir terningkast 5
400817,Skriv en anmeldelse av TV-serien «Broen» sesong 3 på rundt 100 ord hvor du gir terningkast 5
4050,Skriv en anmeldelse av filmen «Skyfall» på rundt 400 ord hvor du gir terningkast 4
5182,Skriv en anmeldelse av filmen «Now It's Dark» på rundt 500 ord hvor du gir terningkast 5
400209,Skriv en anmeldelse av filmen «El Club» på rundt 100 ord hvor du gir terningkast 5
25,Skriv en anmeldelse av TV-serien «How I Met Your Mother» sesong 4 på rundt 700 ord hvor du gir terningkast 5
3612,Skriv en anmeldelse av filmen «Cash» på rundt 300 ord hvor du gir terningkast 4
4335,Skriv en anmeldelse av filmen «Gjenforeningen» på rundt 500 ord hvor du gir terningkast 4
4290,Skriv en anmeldelse av filmen «Anchorman: The Legend Continues» på rundt 400 ord hvor du gir terningkast 4
4972,Skriv en anmeldelse av filmen «Ghost In The Shell» på rundt 100 ord hvor du gir terningkast 4
4729,Skriv en anmeldelse av filmen «Corn Island» på rundt 400 ord hvor du gir terningkast 5
3213,Skriv en anmeldelse av filmen «Blood diamond» på rundt 400 ord hvor du gir terningkast 5
3264,Skriv en anmeldelse av filmen «Death Proof» på rundt 500 ord hvor du gir terningkast 4
3438,Skriv en anmeldelse av filmen «Burn after reading» på rundt 400 ord hvor du gir terningkast 4
401709,Skriv en anmeldelse av filmen «Johnny English Strikes Again» på rundt 500 ord hvor du gir terningkast 3
21,Skriv en anmeldelse av TV-serien «Pushing Daisies» på rundt 600 ord hvor du gir terningkast 4
5232,Skriv en anmeldelse av filmen «Adrift» på rundt 600 ord hvor du gir terningkast 4
4821,Skriv en anmeldelse av filmen «Mike og Dave trenger damer» på rundt 100 ord hvor du gir terningkast 4
400241,Skriv en anmeldelse av filmen «Suffragette» på rundt 100 ord hvor du gir terningkast 4
225,Skriv en anmeldelse av TV-serien «Silicon Valley» sesong 2 på rundt 600 ord hvor du gir terningkast 5
400160,Skriv en anmeldelse av filmen «Captain Fantastic» på rundt 100 ord hvor du gir terningkast 5
