id,prompt
3904,Skriv en anmeldelse av filmen «Varg Veum – De døde har det godt» på rundt 400 ord hvor du gir terningkast 3
400234,"Skriv en anmeldelse av filmen «Hail, Caesar!» på rundt 100 ord hvor du gir terningkast 5"
3225,Skriv en anmeldelse av filmen «Notes on a scandal» på rundt 400 ord hvor du gir terningkast 5
330,Skriv en anmeldelse av TV-serien «Aber Bergen» på rundt 100 ord hvor du gir terningkast 4
3930,Skriv en anmeldelse av filmen «The Devil Inside» på rundt 400 ord hvor du gir terningkast 3
4109,Skriv en anmeldelse av filmen «Victoria» på rundt 400 ord hvor du gir terningkast 3
3541,Skriv en anmeldelse av filmen «Terminator Salvation» på rundt 400 ord hvor du gir terningkast 3
4341,Skriv en anmeldelse av filmen «Veronica Mars» på rundt 600 ord hvor du gir terningkast 5
338,Skriv en anmeldelse av TV-serien «The Crown» sesong 1 på rundt 900 ord hvor du gir terningkast 5
3773,"Skriv en anmeldelse av filmen «Tomorrow, When the War Began» på rundt 600 ord hvor du gir terningkast 2"
400245,Skriv en anmeldelse av filmen «The Assassin» på rundt 100 ord hvor du gir terningkast 6
4724,"Skriv en anmeldelse av filmen «Hail, Caesar!» på rundt 500 ord hvor du gir terningkast 5"
400008,Skriv en anmeldelse av filmen «The Little Death» på rundt 100 ord hvor du gir terningkast 3
4218,Skriv en anmeldelse av filmen «Farvel til mafiaen» på rundt 400 ord hvor du gir terningkast 3
3639,Skriv en anmeldelse av filmen «Predators» på rundt 400 ord hvor du gir terningkast 4
4806,Skriv en anmeldelse av filmen «Ghostbusters» på rundt 100 ord hvor du gir terningkast 4
437,Skriv en anmeldelse av filmen «Percy Jackson og lyntyven» på rundt 400 ord hvor du gir terningkast 3
4412,Skriv en anmeldelse av filmen «Noen dager i Paris» på rundt 400 ord hvor du gir terningkast 4
426,Skriv en anmeldelse av filmen «Menn som stirrer på geiter» på rundt 400 ord hvor du gir terningkast 4
4623,Skriv en anmeldelse av filmen «Min lille søster» på rundt 400 ord hvor du gir terningkast 5
3458,Skriv en anmeldelse av filmen «Journey to the Center of the Earth» på rundt 500 ord hvor du gir terningkast 4
3605,Skriv en anmeldelse av filmen «Brothers» på rundt 400 ord hvor du gir terningkast 5
4617,Skriv en anmeldelse av filmen «Wendyeffekten» på rundt 600 ord hvor du gir terningkast 3
5046,Skriv en anmeldelse av filmen «Bigfoot junior» på rundt 700 ord hvor du gir terningkast 2
4813,Skriv en anmeldelse av filmen «Under kirsebærtrærne» på rundt 100 ord hvor du gir terningkast 4
4399,"Skriv en anmeldelse av filmen «To dager, en natt» på rundt 400 ord hvor du gir terningkast 5"
189,Skriv en anmeldelse av TV-serien «Homeland» sesong 4 på rundt 500 ord hvor du gir terningkast 5
4719,Skriv en anmeldelse av filmen «Palio: Ridderne av Siena» på rundt 500 ord hvor du gir terningkast 4
4609,Skriv en anmeldelse av filmen «Kvinnen i gull» på rundt 400 ord hvor du gir terningkast 3
